<TICKER>,<PER>,<DTYYYYMMDD>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
AMBV4.SA,D,20001005,000000,85.9400,85.9400,85.9400,85.9400,0,0
AMBV4.SA,D,20001006,000000,86.3400,86.3400,82.7700,83.1700,459500,0
AMBV4.SA,D,20001009,000000,85.1500,85.1500,81.9800,82.5700,690800,0
AMBV4.SA,D,20001010,000000,82.5700,86.1400,82.5700,85.4700,655400,0
AMBV4.SA,D,20001011,000000,83.1700,85.5400,83.1700,85.1500,655400,0
AMBV4.SA,D,20001012,000000,85.1500,85.1500,85.1500,85.1500,0,0
AMBV4.SA,D,20001013,000000,83.1700,86.1400,79.2100,85.1500,630200,0
AMBV4.SA,D,20001016,000000,83.5600,85.9400,83.5600,85.7400,452400,0
AMBV4.SA,D,20001017,000000,85.9000,87.1300,85.5400,87.1300,1097800,0
AMBV4.SA,D,20001018,000000,85.1900,86.7300,83.3700,85.3500,1293000,0
AMBV4.SA,D,20001019,000000,85.5400,85.9400,84.7500,85.9400,816500,0
AMBV4.SA,D,20001020,000000,429.7000,433.6600,427.7200,429.7000,260300,0
AMBV4.SA,D,20001023,000000,408.9100,431.6900,408.9100,415.8500,73300,0
AMBV4.SA,D,20001024,000000,415.8500,415.8500,415.8500,415.8500,0,0
AMBV4.SA,D,20001025,000000,378.2200,396.0400,370.3200,370.3200,590500,0
AMBV4.SA,D,20001026,000000,371.2900,391.0900,371.2900,379.7000,204300,0
AMBV4.SA,D,20001027,000000,396.0400,396.0400,376.2400,389.1100,193600,0
AMBV4.SA,D,20001030,000000,395.0500,401.9800,386.1400,400.9900,216000,0
AMBV4.SA,D,20001031,000000,405.9500,429.7000,402.9700,421.7900,361400,0
AMBV4.SA,D,20001101,000000,423.7600,426.7300,415.8400,422.7700,196000,0
AMBV4.SA,D,20001102,000000,422.7700,422.7700,422.7700,422.7700,0,0
AMBV4.SA,D,20001103,000000,430.6900,435.6400,421.7900,425.7400,331700,0
AMBV4.SA,D,20001106,000000,428.9100,435.6400,421.7800,429.7000,126900,0
AMBV4.SA,D,20001107,000000,425.7500,435.6400,424.7500,434.6500,171800,0
AMBV4.SA,D,20001108,000000,434.6500,437.6200,423.7600,425.7300,196600,0
AMBV4.SA,D,20001109,000000,424.7500,428.7100,410.8900,413.8600,231800,0
AMBV4.SA,D,20001110,000000,415.8400,434.6500,411.8800,423.7600,145000,0
AMBV4.SA,D,20001113,000000,415.8400,419.8000,396.0400,405.9400,155100,0
AMBV4.SA,D,20001114,000000,405.9400,405.9400,405.9400,405.9400,0,0
AMBV4.SA,D,20001115,000000,405.9400,405.9400,405.9400,405.9400,0,0
AMBV4.SA,D,20001116,000000,415.0500,427.7200,413.8600,425.7400,158900,0
AMBV4.SA,D,20001117,000000,430.2000,430.6900,424.2600,426.7400,162500,0
AMBV4.SA,D,20001120,000000,430.6900,434.6500,422.2800,431.6800,96000,0
AMBV4.SA,D,20001121,000000,431.6800,435.6400,423.7700,430.6900,120300,0
AMBV4.SA,D,20001122,000000,433.6500,433.6500,422.7700,428.7100,62500,0
AMBV4.SA,D,20001123,000000,435.6400,435.6400,405.9400,411.8900,297300,0
AMBV4.SA,D,20001124,000000,425.7400,430.6700,419.8000,419.8000,48400,0
AMBV4.SA,D,20001127,000000,425.7400,435.6400,422.7700,433.6600,66700,0
AMBV4.SA,D,20001128,000000,433.6600,435.6400,420.7900,423.7600,152600,0
AMBV4.SA,D,20001129,000000,430.6900,432.6700,419.8000,419.8000,58000,0
AMBV4.SA,D,20001130,000000,419.8000,428.7100,410.8900,410.8900,107600,0
AMBV4.SA,D,20001201,000000,410.8900,430.6900,410.8900,426.7300,134300,0
AMBV4.SA,D,20001204,000000,435.6300,435.6400,425.7400,433.6600,219400,0
AMBV4.SA,D,20001205,000000,442.2800,442.2800,431.6800,435.6400,299800,0
AMBV4.SA,D,20001206,000000,440.5900,440.5900,429.2100,430.6900,62000,0
AMBV4.SA,D,20001207,000000,430.6900,436.6300,430.6900,436.6100,254400,0
AMBV4.SA,D,20001208,000000,442.5700,455.4500,438.6400,438.6400,169100,0
AMBV4.SA,D,20001211,000000,445.5300,450.5000,439.6000,440.5900,60200,0
AMBV4.SA,D,20001212,000000,440.5900,440.5900,440.5900,440.5900,0,0
AMBV4.SA,D,20001213,000000,441.5800,441.5800,433.6600,436.4400,137200,0
AMBV4.SA,D,20001214,000000,440.5900,445.5400,435.6400,435.6500,131800,0
AMBV4.SA,D,20001215,000000,434.6500,455.4500,433.6700,448.5100,151900,0
AMBV4.SA,D,20001218,000000,455.4500,465.3500,449.5000,449.5000,56200,0
AMBV4.SA,D,20001219,000000,449.5000,470.3000,449.5000,464.9500,134000,0
AMBV4.SA,D,20001220,000000,455.4500,470.3000,455.4500,458.4300,112500,0
AMBV4.SA,D,20001221,000000,458.4300,473.2700,450.5000,465.3600,279900,0
AMBV4.SA,D,20001222,000000,460.5600,485.1500,460.5600,473.2700,264700,0
AMBV4.SA,D,20001225,000000,473.2700,473.2700,473.2700,473.2700,0,0
AMBV4.SA,D,20001226,000000,470.3000,471.2900,450.5000,451.9700,88100,0
AMBV4.SA,D,20001227,000000,455.4500,504.9500,454.4600,483.1800,148600,0
AMBV4.SA,D,20001228,000000,482.1800,485.1500,465.3500,465.3500,138800,0
AMBV4.SA,D,20001229,000000,465.3500,465.3500,465.3500,465.3500,0,0
AMBV4.SA,D,20010101,000000,465.3500,465.3500,465.3500,465.3500,0,0
AMBV4.SA,D,20010102,000000,465.3500,485.1500,465.3500,473.2700,83600,0
AMBV4.SA,D,20010103,000000,473.2700,485.1500,467.3300,467.3300,243900,0
AMBV4.SA,D,20010104,000000,474.2600,485.1400,463.3700,465.3500,144000,0
AMBV4.SA,D,20010105,000000,470.3000,473.2700,445.5500,453.4700,127300,0
